Data Series,Doctors ,Doctors -> Doctors - Public ,Doctors -> Doctors - Non-Public ,Doctors -> Doctors - Not In Active Practice ,Specialists Doctors ,Specialists Doctors -> Specialists Doctors - Public ,Specialists Doctors -> Specialists Doctors - Non-Public ,Specialists Doctors -> Specialists Doctors - Not In Active Practice ,Non-Specialists Doctors ,Non-Specialists Doctors -> Non-Specialists Doctors - Public ,Non-Specialists Doctors -> Non-Specialists Doctors - Non-Public ,Non-Specialists Doctors -> Non-Specialists Doctors - Not In Active Practice ,Dentists ,Dentists -> Dentists - Public ,Dentists -> Dentists - Non-Public ,Dentists -> Dentists - Not In Active Practice ,Dental Specialists ,Dental Specialists -> Dental Specialists - Public ,Dental Specialists -> Dental Specialists - Non-Public ,Dental Specialists -> Dental Specialists - Not In Active Practice ,General Dental Practitioners ,General Dental Practitioners -> General Dental Practitioners - Public ,General Dental Practitioners -> General Dental Practitioners - Non-Public ,General Dental Practitioners -> General Dental Practitioners - Not In Active Practice ,Oral Health Therapists ,Oral Health Therapists -> Oral Health Therapists - Public ,Oral Health Therapists -> Oral Health Therapists - Non-Public ,Oral Health Therapists -> Oral Health Therapists - Not In Active Practice ,Pharmacists ,Pharmacists -> Pharmacists - Public ,Pharmacists -> Pharmacists - Non-Public ,Pharmacists -> Pharmacists - Not In Active Practice ,Registered Nurses ,Registered Nurses -> Registered Nurses - Public ,Registered Nurses -> Registered Nurses - Non-Public ,Registered Nurses -> Registered Nurses - Not In Active Practice ,Enrolled Nurses ,Enrolled Nurses -> Enrolled Nurses - Public ,Enrolled Nurses -> Enrolled Nurses - Non-Public ,Enrolled Nurses -> Enrolled Nurses - Not In Active Practice ,Registered Midwives ,Registered Midwives -> Registered Midwives - Public ,Registered Midwives -> Registered Midwives - Non-Public ,Registered Midwives -> Registered Midwives - Not In Active Practice ,Advanced Practice Nurses ,Advanced Practice Nurses -> Advanced Practice Nurses - Public ,Advanced Practice Nurses -> Advanced Practice Nurses - Non-Public ,Advanced Practice Nurses -> Advanced Practice Nurses - Not In Active Practice ,Optometrists And Opticians ,Optometrists And Opticians -> Optometrists And Opticians - Public ,Optometrists And Opticians -> Optometrists And Opticians - Non-Public ,Optometrists And Opticians -> Optometrists And Opticians - Not In Active Practice ,Occupational Therapists ,Occupational Therapists -> Occupational Therapists - Public ,Occupational Therapists -> Occupational Therapists - Non-Public ,Occupational Therapists -> Occupational Therapists - Not In Active Practice ,Physiotherapists ,Physiotherapists -> Physiotherapists - Public ,Physiotherapists -> Physiotherapists - Non-Public ,Physiotherapists -> Physiotherapists - Not In Active Practice ,Speech Therapists ,Speech Therapists -> Speech Therapists - Public ,Speech Therapists -> Speech Therapists - Non-Public ,Speech Therapists -> Speech Therapists - Not In Active Practice ,Traditional Chinese Medicine (TCM) Physicians ,Traditional Chinese Medicine (TCM) Physicians -> Traditional Chinese Medicine (TCM) Physicians - In Active Practice ,Traditional Chinese Medicine (TCM) Physicians -> Traditional Chinese Medicine (TCM) Physicians - Not In Active Practice ,Acupuncturists ,Acupuncturists -> Acupuncturists - In Active Practice ,Acupuncturists -> Acupuncturists - Not In Active Practice 
2021,15423,9844,4601,978,6431,4267,1776,388,8992,5577,2825,590,2484,503,1891,90,395,132,255,8,2089,371,1636,82,445,216,159,70,3634,1758,1464,412,35948,23324,9297,3327,6989,3984,1975,1030,68,31,27,10,330,311,16,3,2689,234,2351,104,1381,615,608,158,2260,1085,960,215,778,279,403,96,3069,2236,833,250,115,135
2020,14823,9532,4489,802,6088,4052,1718,318,8735,5480,2771,484,2482,540,1859,83,379,138,239,2,2103,402,1620,81,441,220,155,66,3435,1710,1343,382,34654,22483,9291,2880,7442,4395,2095,952,77,36,30,11,264,247,14,3,2653,219,2347,87,1304,564,569,171,2129,1016,876,237,727,263,363,101,3017,2200,817,254,117,137
2019,14279,9030,4439,810,5881,3864,1682,335,8398,5166,2757,475,2475,509,1881,85,368,130,237,1,2107,379,1644,84,429,224,141,64,3408,1616,1444,348,34609,21373,8943,4293,8059,4663,2206,1190,109,43,31,35,267,251,13,3,2636,210,2345,81,1227,534,546,147,2020,943,834,243,686,257,341,88,3045,2284,761,259,124,135
2018,13766,8819,4225,722,5615,3741,1565,309,8151,5078,2660,413,2363,525,1768,70,305,113,189,3,2058,412,1579,67,389,217,122,50,3216,1535,1367,314,33614,20734,8441,4439,8394,4854,2241,1299,117,48,29,40,238,225,12,1,2633,187,2332,114,1201,539,529,133,1967,960,804,203,642,246,319,77,3004,2234,770,252,134,118
2017,13386,8573,4107,706,5338,3523,1528,287,8048,5050,2579,419,2293,477,1748,68,350,112,232,6,1943,365,1516,62,416,225,144,47,3047,1472,1344,231,32672,20313,8002,4357,8631,5020,2301,1310,137,55,41,41,218,203,10,5,2605,175,2316,114,1125,512,508,105,1814,882,765,167,595,232,307,56,2952,2243,709,254,139,115
2016,12967,8358,3979,630,5047,3299,1485,263,7920,5059,2494,367,2198,486,1644,68,333,106,219,8,1865,380,1425,60,401,229,128,44,2875,1367,1248,260,31615,19618,7616,4381,8781,5149,2322,1310,165,62,47,56,197,189,8,0,2650,166,2265,219,1067,521,477,69,1693,899,682,112,524,215,269,40,2868,2241,627,247,146,101
2015,12459,7909,3914,636,4788,3052,1470,266,7671,4857,2444,370,2060,449,1541,70,324,102,215,7,1736,347,1326,63,400,228,144,28,2757,1307,1221,229,29894,18566,7356,3972,8931,5305,2377,1249,180,71,51,58,172,166,5,1,2624,156,2345,123,967,498,429,40,1549,877,606,66,474,212,244,18,2808,2217,591,249,152,97
2014,11733,7330,3790,613,4485,2829,1411,245,7248,4501,2379,368,1905,444,1435,26,313,96,216,1,1592,348,1219,25,377,220,128,29,2563,1179,1174,210,28864,17667,6863,4334,8528,5006,2078,1444,226,71,61,94,145,137,8,0,2610,159,2337,114,905,501,403,1,1394,861,531,2,400,193,207,0,2740,2199,541,240,153,87
2013,10953,6661,3678,614,4124,2511,1351,262,6829,4150,2327,352,1821,396,1411,14,309,88,219,2,1512,308,1192,12,364,216,129,19,2376,1082,1104,190,27556,16738,6716,4102,8273,4890,2049,1334,246,79,61,106,117,110,5,2,2461,159,2210,92,na,na,na,na,na,na,na,na,na,na,na,na,2629,2155,474,244,147,97
2012,10225,6131,3515,579,3867,2342,1293,232,6358,3789,2222,347,1699,357,1215,127,303,86,203,14,1396,271,1012,113,337,228,88,21,2172,934,1048,190,25971,15916,6321,3734,8274,4995,2027,1252,262,89,65,108,88,82,5,1,2478,155,2124,199,na,na,na,na,na,na,na,na,na,na,na,na,2538,2133,405,235,174,61
